"Section","Goals","Subjects","Scopes","Constraints","Jurisdictions"
"1","requires","the governmentâ information security organization, The protection of information assets","a multi-disciplinary approach","",""
"1","describes","the management structure, This chapter, including required information security activities","","",""
"1","applies","This coordination","","","to internal organizations, to external parties"
"1","requires","the support of a network of contacts, The information security organization","","","in the information security community, with other external factors"
"2.1.1","set, provide","Management","support for information security, direction","",""
"2.1.2","coordinated","the Office of the Government Chief Information Officer","Implementation of information security activities","","across government"
"2.1.4","requires","Establishment of new information systems and processing facilities","formal management authorization","",""
"2.1.5","be","A confidentiality agreement","","","for the handling of information"
"2.1.6","maintained","","Appropriate contacts","with local law enforcement authorities emergency support and staff service providers, emergency support staff, service providers",""
"2.1.7","maintained","","Appropriate contacts","with specialist security forums and professional associations, professional associations",""
"2.1.8","conducted","","Independent reviews of information security","",""
"2.2.1","undertaken, implemented","appropriate security controls","Assessment of risks","","from external party access to government information or information systems or information processing facilities"
"2.2.2","addressed","","Identified security requirements","","to information systems information processing facilities"
"2.2.3","based","","Arrangements","on a formal contract","to information systems information processing facilities"
"2.1.1","set, provide","Management","support for information security, direction","",""
"2.1.1 a) ","provides","the security infrastructure, The Information Security Program","","","for standard security controls, across government"
"2.1.1 a) ","provides","the security infrastructure, The Information Security Program","","","for information security"
"2.1.1 a) ","provides","the security infrastructure, The Information Security Program","","",""
"2.1.1 a) ","provides","the security infrastructure, The Information Security Program","","","of the Information Security Policy"
"2.1.1 a) ","provides","The Information Security Program","the security infrastructure","",""
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, on methodologies and processes, for information security"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government"
"2.1.1 b) ","enable","an Information Security Program, The Chief Information Security Officer","government service delivery","","across government, in the Information Security Policy and and guidelines, standards"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, to planning and development groups"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, throughout government"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, to threats of assets, with information security"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, for all suspected actual information incidents"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, during and after an information security incident"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, for security controls"
"2.1.1 b) ","establish","an Information Security Program, information security activities, The Chief Information Security Officer","an Information Security Program","","across government, with the Information Security Policy"
"2.1.1 b) ","establish","an Information Security Program, activities, The Chief Information Security Officer","an Information Security Program","","across government, with policies or standards or best practices"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, co-ordinating the implementation of information security controls"
"2.1.1 b) ","establish","an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, in response, to identified information security incidents"
"2.1.1 b) ","establish, centres","national incident response, an Information Security Program, The Chief Information Security Officer","an Information Security Program","","across government, building relationships, with stakeholder and partner organizations, including suppliers"
"2.1.1 c) ","interpreting","Information security specialists, the Information Security Policy","the Information Security Policy","","in the Information Security Branch, of the Government Chief Information Officer, in the delivery of business functions"
"2.1.1 c) ","evaluating","Information security specialists","information security implications of new government initiatives","","in the Information Security Branch, of the Government Chief Information Officer"
"2.1.1 c) ","performing","Information security specialists","information system security risk analysis activities","","in the Information Security Branch, of the Government Chief Information Officer"
"2.1.1 c) ","performing","Information security specialists","reviews, information security assessments and reviews","","in the Information Security Branch, of the Government Chief Information Officer"
"2.1.1 c) ","evaluating","Information security specialists","new threats and vulnerabilities, vulnerabilities","","in the Information Security Branch, of the Government Chief Information Officer"
"2.1.1 c) ","investigating","Information security specialists","major information security incidents","","in the Information Security Branch, of the Government Chief Information Officer"
"2.1.1 c) ","advising","Information security specialists","security requirements","on the information","in the Information Security Branch, of the Government Chief Information Officer, for documented agreements"
"2.1.1 c) ","recommending, identifying, emerging","Information security specialists","technologies, general business trends, changes","","in the Information Security Branch, of the Government Chief Information Officer, to Information Security Program"
"2.1.1 c) ","analyzing, providing","Information security specialists","advice","","in the Information Security Branch, of the Government Chief Information Officer, on emerging information security standards"
"2.1.1 c) ","providing","Information security specialists","information security advice","","in the Information Security Branch, of the Government Chief Information Officer, for business areas"
"2.1.1 d) ","defined","","The responsibilities of the Ministry Chief Information Officer","","in the Core Policy Chapter"
"2.1.1 d) ","point","the Ministry Chief Information Officer","","","In addition to these responsibilities, of contact, for information incidents, within ministry"
"2.1.1 d) ","member","the Ministry Chief Information Officer","","","In addition to these responsibilities, of cross-ministry IM/IT forums"
"2.1.1 d) ","ensuring","the Ministry Chief Information Officer","","","In addition to these responsibilities, for all actual suspected information incidents"
"2.1.1 d) ","supported","the Ministry Chief Information Officer, the ministry","ensures information security reviews and audits, audits","","In addition to these responsibilities"
"2.1.1 e) ","responsible","The Ministry Information Security Officer","","","in compliance, with the Information Security Policy"
"2.1.1 e) ","responsible","The Ministry Information Security Officer","","","for co-ordinating information security awareness and education"
"2.1.1 e) ","investigating","reported information security events, The Ministry Information Security Officer","reported information security events","",""
"2.1.1 e) ","responsible","The Ministry Information Security Officer","","","on issues, to information security"
"2.1.1 e) ","assisting","The Ministry Information Security Officer","business areas","",""
"2.1.1 e) ","ensuring","each information system, The Ministry Information Security Officer","","",""
"2.1.1 e) ","providing","The Ministry Information Security Officer","advice","on security requirements","for information systems development or enhancements"
